subset,q1,q2,q1_count,q1_unique_name_count,prop_missing_by_id,prop_missing_by_name,approach_diff
named_only,199912,200003,580375,552723,0.021482662071936276,0.021448356590914486,3.430548102179021e-05
overall,199912,200003,908249,552723,0.02040960133179337,0.021448356590914486,0.0010387552591211158
named_only,200003,200006,576846,549571,0.016354451621403254,0.016376409963407834,2.195834200457991e-05
overall,200003,200006,904361,549571,0.015730443926706306,0.016376409963407834,0.0006459660367015285
named_only,200006,200009,578363,550963,0.021273836673507796,0.021351706012926464,7.786933941866803e-05
overall,200006,200009,906563,550963,0.019611433513170073,0.021351706012926464,0.00174027249975639
named_only,200009,200012,580861,553275,0.017487832717293816,0.017530161312186543,4.2328594892726557e-05
overall,200009,200012,910859,553275,0.016967499909426143,0.017530161312186543,0.0005626614027604004
named_only,200012,200103,582421,554661,0.01744957685248305,0.01755306394356193,0.00010348709107887988
overall,200012,200103,913300,554661,0.017409394503449027,0.01755306394356193,0.0001436694401129035
named_only,200103,200106,583385,555607,0.016781370792872674,0.016848239852989666,6.68690601169919e-05
overall,200103,200106,914527,555607,0.016340687590415626,0.016848239852989666,0.0005075522625740403
named_only,200106,200109,587911,559863,0.018230650557652384,0.018322339572359625,9.168901470724133e-05
overall,200106,200109,921440,559863,0.016701033165480106,0.018322339572359625,0.001621306406879519
named_only,200109,200112,591208,562885,0.015277195166506496,0.015322845696723153,4.565053021665655e-05
overall,200109,200112,928296,562885,0.014981212888992346,0.015322845696723153,0.0003416328077308073
named_only,200112,200203,593156,564700,0.017125343080066635,0.017143616079334123,1.8272999267487933e-05
overall,200112,200203,932609,564700,0.017055379049526698,0.017143616079334123,8.823702980742532e-05
named_only,200203,200206,592054,563787,0.017721356497886975,0.017770895746088478,4.953924820150224e-05
overall,200203,200206,932415,563787,0.01700744840012225,0.017770895746088478,0.0007634473459662283
named_only,200206,200209,595791,567461,0.018081844136618397,0.018152789354686893,7.094521806849663e-05
overall,200206,200209,940753,567461,0.01693324390142792,0.018152789354686893,0.0012195454532589745
named_only,200209,200212,610816,582074,0.016494328897736832,0.016491030350092917,3.2985476439151284e-06
overall,200209,200212,974151,582074,0.01579118637665,0.016491030350092917,0.0006998439734429152
named_only,200212,200303,614484,585529,0.021505848809733052,0.021558283193488292,5.24343837552399e-05
overall,200212,200303,983954,585529,0.021351607900369274,0.021558283193488292,0.00020667529311901855
named_only,200303,200306,611502,582779,0.021092326762627067,0.0211023389655427,1.0012202915632429e-05
overall,200303,200306,979502,582779,0.019444574896222755,0.0211023389655427,0.0016577640693199447
named_only,200306,200309,611629,582932,0.021194220679529585,0.021275208772206677,8.098809267709228e-05
overall,200306,200309,980840,582932,0.019090779332001095,0.021275208772206677,0.002184429440205582
named_only,200309,200312,612401,583742,0.017622440198497347,0.017660199197590765,3.7758999093417955e-05
overall,200309,200312,983435,583742,0.016566422793575564,0.017660199197590765,0.001093776404015201
named_only,200312,200403,613912,585215,0.02413863876255884,0.024119340755107133,1.9298007451706845e-05
overall,200312,200403,988096,585215,0.022623307856726504,0.024119340755107133,0.0014960328983806281
named_only,200403,200406,609041,580754,0.019689971611106638,0.019638263361078878,5.170825002775992e-05
overall,200403,200406,982767,580754,0.018922084278369167,0.019638263361078878,0.0007161790827097114
named_only,200406,200409,613978,585549,0.02340963356993242,0.023579580871967987,0.00016994730203556685
overall,200406,200409,1002240,585549,0.02141902139208174,0.023579580871967987,0.002160559479886248
named_only,200409,200412,613933,585532,0.018484101685363075,0.01864629089443448,0.0001621892090714061
overall,200409,200412,1004554,585532,0.018025910005833423,0.01864629089443448,0.0006203808886010576
named_only,200412,200503,615573,587088,0.027627917403784785,0.027805030932330443,0.0001771135285456582
overall,200412,200503,1010073,587088,0.02574863400962113,0.027805030932330443,0.0020563969227093137
named_only,200503,200506,611761,583488,0.021881094087396913,0.022012449270593426,0.00013135518319651318
overall,200503,200506,1007865,583488,0.020509691278097764,0.022012449270593426,0.0015027579924956624
named_only,200506,200509,610980,582697,0.02469802612196803,0.024925475847653256,0.0002274497256852248
overall,200506,200509,1007352,582697,0.0223129551537099,0.024925475847653256,0.0026125206939433543
named_only,200509,200512,607249,579123,0.01962292239262642,0.019648675669935445,2.5753277309026323e-05
overall,200509,200512,1003480,579123,0.01854944792123414,0.019648675669935445,0.0010992277487013036
named_only,200512,200603,608460,580351,0.024650757650461874,0.024762600564141368,0.00011184291367949406
overall,200512,200603,1006621,580351,0.02390472680383182,0.024762600564141368,0.0008578737603095465
named_only,200603,200606,603305,575590,0.018428489735705766,0.018591358432217375,0.00016286869651160885
overall,200603,200606,999348,575590,0.019314593114710843,0.018591358432217375,0.0007232346824934677
named_only,200606,200609,605463,577568,0.02231680548604953,0.022473544240678156,0.00015673875462862696
overall,200606,200609,1002079,577568,0.05161569097845575,0.022473544240678156,0.029142146737777597
named_only,200609,200612,607247,579248,0.013666596953134436,0.013707427561251873,4.0830608117436995e-05
overall,200609,200612,1006327,579248,0.014092834635262674,0.013707427561251873,0.00038540707401080176
named_only,200612,200703,609688,581547,0.026060870478014975,0.026343528554012008,0.0002826580759970332
overall,200612,200703,1010963,581547,0.02582686013236879,0.026343528554012008,0.0005166684216432182
named_only,200703,200706,604926,576888,0.017322779976393754,0.01757880212450247,0.0002560221481087144
overall,200703,200706,1003632,576888,0.017391832863041468,0.01757880212450247,0.0001869692614610008
named_only,200706,200709,608534,580074,0.022115444658802996,0.022381627171705665,0.0002661825129026685
overall,200706,200709,1008520,580074,0.022084837187165363,0.022381627171705665,0.00029678998454030214
named_only,200709,200712,614765,585861,0.014130602750644594,0.014315682388825968,0.00018507963818137352
overall,200709,200712,1018268,585861,0.014708308618163413,0.014315682388825968,0.00039262622933744495
named_only,200712,200803,619893,590455,0.024509068500531583,0.024789357360001985,0.00028028885947040116
overall,200712,200803,1026971,590455,0.024693004963139198,0.024789357360001985,9.635239686278663e-05
named_only,200803,200806,620620,590967,0.015797106119686766,0.01586044567632372,6.333955663695434e-05
overall,200803,200806,1029116,590967,0.016151726336001038,0.01586044567632372,0.00029128065967731764
named_only,200806,200809,630660,600333,0.01940189642596646,0.0195824650652221,0.00018056863925564048
overall,200806,200809,1043114,600333,0.019459042827533746,0.0195824650652221,0.00012342223768835314
named_only,200809,200812,641386,610315,0.012187668580230904,0.01221664222573593,2.8973645505026013e-05
overall,200809,200812,1058841,610315,0.012547681852138282,0.01221664222573593,0.00033103962640235185
named_only,200812,200903,651001,619313,0.018044519132843106,0.018079710905471114,3.51917726280071e-05
overall,200812,200903,1072881,619313,0.018080290358390205,0.018079710905471114,5.79452919091672e-07
named_only,200903,200906,656450,624479,0.012428974026963191,0.012482405333085644,5.343130612245339e-05
overall,200903,200906,1081074,624479,0.012714208278064243,0.012482405333085644,0.00023180294497859855
named_only,200906,200909,667300,634610,0.016906938408511873,0.01701675044515527,0.00010981203664339745
overall,200906,200909,1095692,634610,0.017075053938515605,0.01701675044515527,5.830349336033436e-05
named_only,200909,200912,675984,642798,0.011065350659187234,0.011095242984576759,2.9892325389524466e-05
overall,200909,200912,1109213,642798,0.01155684255413525,0.011095242984576759,0.0004615995695584907
named_only,200912,201003,683342,649587,0.018965613119053093,0.018868912093376267,9.670102567682637e-05
overall,200912,201003,1118252,649587,0.01895637119361293,0.018868912093376267,8.745910023666426e-05
named_only,201003,201006,685099,651521,0.014254874113084348,0.014214430540228196,4.044357285615252e-05
overall,201003,201006,1118977,651521,0.013993138375498315,0.014214430540228196,0.00022129216472988045
named_only,201006,201009,693841,659870,0.018122307560377693,0.018136905754163712,1.4598193786019564e-05
overall,201006,201009,1129638,659870,0.017533050410839524,0.018136905754163712,0.0006038553433241889
named_only,201009,201012,703101,668583,0.012295530798562382,0.012242309481395708,5.3221317166674e-05
overall,201009,201012,1144026,668583,0.01229954563969704,0.012242309481395708,5.723615830133255e-05
named_only,201012,201103,711071,676191,0.02074195122568634,0.020636181197324466,0.00010577002836187344
overall,201012,201103,1154533,676191,0.02047321297875415,0.020636181197324466,0.00016296821857031407
named_only,201103,201106,712303,677622,0.015313707790083675,0.015299090053156439,1.4617736927236002e-05
overall,201103,201106,1154215,677622,0.015064784290621747,0.015299090053156439,0.00023430576253469226
named_only,201106,201109,714298,679644,0.018651879187677967,0.018596500520860926,5.5378666817040845e-05
overall,201106,201109,1155479,679644,0.018231400137951437,0.018596500520860926,0.000365100382909489
named_only,201109,201112,715170,680635,0.021441055972705736,0.021327143035547724,0.00011391293715801165
overall,201109,201112,1155945,680635,0.021805535730506254,0.021327143035547724,0.0004783926949585293
named_only,201112,201203,711650,677613,0.015509028314480422,0.015501473554964229,7.554759516192888e-06
overall,201112,201203,1149554,677613,0.014780514877943962,0.015501473554964229,0.000720958677020267
named_only,201203,201206,712281,678332,0.017971839765485775,0.017914531527334687,5.73082381510881e-05
overall,201203,201206,1149807,678332,0.018091731916747733,0.017914531527334687,0.00017720038941304583
named_only,201206,201209,715304,681426,0.01651745271940319,0.016571131714962495,5.367899555930311e-05
overall,201206,201209,1152523,681426,0.01598145980600818,0.016571131714962495,0.0005896719089543145
named_only,201209,201212,719432,685307,0.0173386782906515,0.01732654124355948,1.2137047092020126e-05
overall,201209,201212,1157761,685307,0.017228944488542952,0.01732654124355948,9.759675501652687e-05
named_only,201212,201303,721404,687190,0.019875132380746452,0.019875143701159836,1.1320413384474648e-08
overall,201212,201303,1159203,687190,0.01944611944586061,0.019875143701159836,0.0004290242552992263
named_only,201303,201306,719359,685425,0.01809110610974496,0.01811284969179705,2.1743582052091703e-05
overall,201303,201306,1155978,685425,0.018042730917024352,0.01811284969179705,7.011877477269834e-05
named_only,201306,201309,720695,686885,0.016898965581834235,0.01694461227134092,4.564668950668427e-05
overall,201306,201309,1154878,686885,0.016190454749332783,0.01694461227134092,0.0007541575220081365
named_only,201309,201312,722175,688358,0.015468549866722081,0.015451262279221,1.728758750108028e-05
overall,201309,201312,1155550,688358,0.015555363246938736,0.015451262279221,0.00010410096771773514
named_only,201312,201403,723318,689551,0.02046264575193757,0.02039588079779453,6.676495414303929e-05
overall,201312,201403,1156002,689551,0.020204117293914692,0.02039588079779453,0.0001917635038798382
named_only,201403,201406,719171,685946,0.019568364130366778,0.019584632026427684,1.6267896060906395e-05
overall,201403,201406,1147572,685946,0.020152112460046112,0.019584632026427684,0.000567480433618428
named_only,201406,201409,722616,689321,,0.8719043812679435,
overall,201406,201409,1150377,689321,,0.8719043812679435,
named_only,201409,201412,846887,637067,,0.016623055345827087,
overall,201409,201412,1155736,637067,,0.016623055345827087,
named_only,201412,201503,851001,640182,,0.02118147651761526,
overall,201412,201503,1161936,640182,,0.02118147651761526,
named_only,201503,201506,848720,639411,,0.018662487820822582,
overall,201503,201506,1158255,639411,,0.018662487820822582,
named_only,201506,201509,854948,643784,,0.01865843202067774,
overall,201506,201509,1165594,643784,,0.01865843202067774,
named_only,201509,201512,860892,646753,,0.01656892198412685,
overall,201509,201512,1172857,646754,,0.016570442548480613,
named_only,201512,201603,864805,651959,,0.02065007155357934,
overall,201512,201603,1177705,651959,,0.02065007155357934,
named_only,201603,201606,862762,651722,,0.018188736915433212,
overall,201603,201606,1175685,651722,,0.018188736915433212,
named_only,201606,201609,867351,655678,,0.0174963930465869,
overall,201606,201609,1181809,655678,,0.0174963930465869,
named_only,201609,201612,871522,658479,,0.02226342829460015,
overall,201609,201612,1189171,658480,,0.02226491313327661,
named_only,201612,201703,899721,677728,,0.022025060201142588,
overall,201612,201703,1197974,677728,,0.022025060201142588,
